01/04/2025 34.29
02/04/2025 30.12
03/04/2025 20.44
04/04/2025 22.96
05/04/2025 15.81
06/04/2025 39.58
07/04/2025 31.43
08/04/2025 31.8
09/04/2025 26.92
10/04/2025 36.46
11/04/2025 33.26
12/04/2025 40.28
13/04/2025 42.17
14/04/2025 7.49
15/04/2025 12.81
16/04/2025 13.24
17/04/2025 15.67
18/04/2025 19.64
19/04/2025 16.17
20/04/2025 16.8
21/04/2025 19.23
22/04/2025 17.06
23/04/2025 18.6
24/04/2025 19.79
25/04/2025 17.86
26/04/2025 15.41
28/04/2025 17.66
29/04/2025 18.53
30/04/2025 20.81
02/05/2025 22.02
03/05/2025 26.42
05/05/2025 24.19
06/05/2025 22.05
08/05/2025 14.32
09/05/2025 7.77
10/05/2025 4.5
12/05/2025 5.61
13/05/2025 6.81
19/05/2025 -1.52
22/05/2025 -8.63
23/05/2025 -14.69
24/05/2025 -18.09
25/05/2025 -16.79
26/05/2025 -15.41
28/05/2025 -12
01/06/2025 -9.54
04/06/2025 -7.7
05/06/2025 -7.01
06/06/2025 -5.62
16/06/2025 -4.82
17/06/2025 -9.89
18/06/2025 -7.67
19/06/2025 -7.94
20/06/2025 -5.11
21/06/2025 2.62
23/06/2025 0.9
27/06/2025 -3.69
28/06/2025 1.61
12/07/2025 3.16
19/07/2025 7.25
22/07/2025 7.41
24/07/2025 5.2
25/07/2025 12.81
27/07/2025 14.17
28/07/2025 15.41
29/07/2025 19.86
01/08/2025 21.02
02/08/2025 20.89
04/08/2025 19.55
05/08/2025 10.8
06/08/2025 15.44
07/08/2025 10.6
08/08/2025 9.38
09/08/2025 17.97
11/08/2025 19.39
12/08/2025 23.73
13/08/2025 19.08
14/08/2025 18.25
15/08/2025 18.83
18/08/2025 18.07
19/08/2025 14.52
20/08/2025 15.83
22/08/2025 18.97
23/08/2025 21.14
24/08/2025 20.96
25/08/2025 23.67
26/08/2025 24.66
27/08/2025 26.14
28/08/2025 23.2
29/08/2025 18.36
30/08/2025 20.11
01/09/2025 12.99
03/09/2025 15.19
04/09/2025 7.98
05/09/2025 11.64
06/09/2025 13.35
07/09/2025 14.32
08/09/2025 19.27
09/09/2025 20.27
10/09/2025 23.8
11/09/2025 27.54
12/09/2025 28.59
13/09/2025 31.19
14/09/2025 29.34
15/09/2025 27.68
17/09/2025 29.97
18/09/2025 31.54
19/09/2025 32.39
20/09/2025 32.33
21/09/2025 32.54
22/09/2025 20.58
23/09/2025 21.3
24/09/2025 17.35
25/09/2025 0.35
26/09/2025 2.31
27/09/2025 4.66
28/09/2025 3.17
29/09/2025 4.33
30/09/2025 7
01/10/2025 9.02
03/10/2025 9.94
04/10/2025 14.72
05/10/2025 13.25
06/10/2025 17.27
07/10/2025 18.44
08/10/2025 23.38
09/10/2025 25.53
10/10/2025 32.2
11/10/2025 28.6
12/10/2025 27.6
13/10/2025 27.6
14/10/2025 20.78
15/10/2025 25.94
16/10/2025 25.31
17/10/2025 28.87
18/10/2025 32.91
