1 0.000000
2 35.360001
3 34.290001
4 30.120001
5 20.440001
6 22.959999
7 15.810000
8 39.580002
9 31.430000
10 31.799999
11 26.920000
12 36.459999
13 33.259998
14 40.279999
15 42.169998
16 7.490000
17 12.810000
18 13.240000
19 15.670000
20 19.639999
21 16.170000
22 16.799999
23 19.230000
24 17.059999
25 18.600000
26 19.790001
27 17.860001
28 15.410000
29 17.660000
30 18.530001
31 20.809999
32 22.020000
33 26.420000
34 24.190001
35 22.049999
36 14.320000
37 7.770000
38 4.500000
39 5.610000
40 6.810000
41 -1.530000
42 -8.640000
43 -14.700000
44 -18.100000
45 -16.799999
46 -15.420000
47 -12.010000
48 -9.550000
49 -7.710000
50 -7.020000
51 -5.630000
52 -4.830000
53 -9.900000
54 -7.680000
55 -7.950000
56 -5.120000
57 2.620000
58 0.900000
59 -3.700000
60 1.610000
61 3.160000
62 7.250000
63 7.410000
64 5.200000
65 12.810000
66 14.170000
67 15.410000
68 19.860001
69 21.020000
70 20.889999
71 19.549999
72 10.800000
73 15.440000
74 10.600000
75 9.380000
76 17.969999
77 19.389999
78 23.730000
79 19.080000
80 18.250000
81 18.830000
82 18.070000
83 14.520000
84 15.830000
85 18.969999
86 21.139999
87 20.959999
88 23.670000
89 24.660000
90 26.139999
91 23.200001
92 18.360001
93 20.110001
94 12.990000
95 15.190000
96 7.980000
97 11.640000
98 13.350000
99 14.320000
100 19.270000
101 20.270000
102 23.799999
103 27.540001
104 28.590000
105 31.190001
106 29.340000
107 27.680000
108 29.969999
109 31.540001
110 32.389999
111 32.330002
112 32.540001
113 20.580000
114 21.299999
115 17.350000
116 0.350000
117 2.310000
118 4.660000
119 3.170000
120 4.330000
121 6.450000
